,Unnamed: 0,survey,MTURK,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,natural,boring,empathetic,polite,engaging,follow,Q02
0,0,1,1,7.0,7.5,9.0,7.0,7.5,0.2473263020095709,-0.099247615791002,-0.1051045808460632,0.8263293246449607,0.4323271910199796,1.184617172555656,-0.1648192221645123,1
1,1,1,2,8.0,8.0,8.0,8.5,7.5,0.4758296830564394,0.5115439687707249,-0.8506162304739023,0.0962220123528058,0.7348811559044517,0.6723401887646381,0.6097992216248244,2
2,2,1,3,7.5,9.5,9.0,8.0,9.0,0.5792931861793708,0.2070225642081985,-0.5639066058825124,-0.1483578157828969,0.4890405710165905,0.8255969072734773,0.8255969072734773,2
3,3,1,4,8.0,9.0,8.5,8.0,8.0,0.269377958939751,0.1122122440848917,0.2646084349405121,0.633732246361472,0.4765665315066125,0.1074427200856528,0.3860598640810858,2
4,4,1,5,7.5,8.5,7.5,7.5,8.0,0.099757073797231,0.0640427880829453,0.3782674169750662,0.692492045867187,0.2191186494448747,0.3344073189242561,0.4976289926227099,2
5,5,2,6,8.5,7.5,6.5,8.5,9.0,1.0184337420979044,0.1111410322007376,-0.6930069956114548,0.0807127649291859,0.5674303963706882,0.5317161106564023,0.5264300922136684,2
6,6,2,7,8.0,9.0,8.5,7.5,7.5,-0.2970839743024842,0.1527629908375151,0.3503310268365626,0.7097528131203719,0.4717213395501339,0.2289407141229913,0.6692893755491814,2
7,7,2,8,8.0,9.0,9.5,9.5,10.0,0.7946274101979508,0.7253056539988949,-0.6483870054176671,-0.4173483424833036,-0.0749531919470529,0.7610199397131805,0.9311641073665484,1
8,8,2,9,9.0,7.5,9.5,9.5,9.5,0.5025951203111513,0.1594466910385451,-0.8808585257012902,0.2005909412138395,0.4230216021910667,0.7386006924409,0.8923177642200605,1
9,9,2,10,9.0,8.0,8.0,7.5,8.0,0.9501949514167,0.1726776331321523,-1.4235747528081384,0.5051131318745429,0.9144806657024144,0.4336845604459714,0.5188523816649413,1
10,10,3,11,8.5,7.5,8.5,7.5,7.5,0.0001204630946045,0.5388843806281118,0.0877608983761054,0.6427366797625419,0.5031700949138261,0.1461477008655717,0.2954654966449657,2
11,11,3,12,7.5,7.5,8.0,7.5,7.5,-0.5549727861528441,-0.351121086065132,-0.1493561888170206,0.3550560543032571,0.6892440802105088,0.8594682974235353,1.2945387719548411,2
12,12,3,13,7.0,9.5,8.5,9.0,8.5,1.11540393604177,0.5533374621177339,-1.2532772500300973,0.3347560555917201,0.3125068813662856,0.5310882878922993,0.4418989127345772,1
13,13,3,14,9.0,8.5,9.0,8.0,8.5,0.9706188173403396,0.1974919654041976,-0.5998487628432702,-0.2011783987195362,0.46710567795434,0.5984624114085236,0.5673482894554216,1
14,14,3,15,9.0,8.5,9.0,8.0,8.5,1.0623183118238746,0.8670277743321394,-0.9722788983386044,-0.3339738912288069,-0.1303237992769187,0.6318431738960422,0.98253018593515,2
15,15,4,16,7.5,7.0,8.0,8.0,7.0,-0.105694277793323,0.3528884162351637,-0.2784475965559149,0.2635451571736448,0.6328996816922221,0.495860648643916,0.8175193991757064,2
16,16,4,17,8.5,8.5,8.5,8.5,7.5,0.3214285714285695,0.1991438025423349,0.1915728466706461,0.4155700104722074,0.2781433298425951,0.2857142857142839,0.4512842961864931,1
17,17,4,18,8.0,8.0,7.0,7.5,7.5,0.8868255142616207,0.5286013921206335,-1.7727977442217386,0.1270876211232509,0.751003102047522,0.5139912983354801,0.7867173877618078,2
18,18,4,19,7.0,6.5,8.0,7.0,7.5,0.1439776083358236,0.1020168378616267,-0.2171708026095796,0.5555742054726996,0.7466386035639506,0.9807842376080804,-0.0618206902326142,2
19,19,4,20,8.5,8.5,7.5,7.5,8.5,0.2910286676587214,-0.1277244055557153,0.4612681287698997,0.9225810672621312,0.333588532936516,-0.1277244055557152,0.4612681287698997,2
20,20,5,21,9.0,9.0,9.0,8.5,9.0,0.768532887692667,0.5393027928767681,-1.8614925020961224,0.7328186019783812,0.4792300948159002,0.6708040623662076,0.742232633794779,2
21,21,5,22,7.0,8.0,8.0,8.5,7.0,0.3458483907190324,-0.5167871257522352,0.4416967814380622,0.9566530207474968,1.1126355164712702,-0.2057375775260897,-0.2771661489546612,2
22,22,5,23,8.0,8.0,8.0,8.5,7.5,0.8329032169406715,0.6896013767257229,-0.8677499793870549,-0.2321537928667119,0.528664742332534,0.5643790280468197,0.7343554082080314,1
23,23,5,24,8.0,7.0,8.5,8.0,7.5,-0.5920828118023825,0.3704675154239138,0.9554179738860576,0.6464726267153874,0.1301766898467259,0.1974441865226636,0.4706752479790478,1
24,24,5,25,8.0,9.5,7.5,7.0,7.5,-0.0036872123320362,0.1856885559897029,0.4464928957400135,0.1670811058038645,0.3207425884113178,0.4464928957400135,0.47290345636138,2
25,25,6,26,7.0,7.5,9.0,7.0,7.5,0.2429189890733763,0.2715522638610415,-0.1921149882623072,0.3571428571428541,1.006153317683069,0.0575757806565101,0.5782003512740063,1
26,26,6,27,7.5,8.5,9.0,8.0,8.5,-0.4751172270062622,1.093331315304714,-0.6960689937760184,0.5515469829299053,-0.2184511745222203,1.228926399854296,0.5515469829299054,2
27,27,6,28,8.0,7.5,8.0,8.5,9.0,-0.1565666100819151,0.7426228422319585,1.0846789419049925,0.1672365773929301,0.0410492693697932,0.2212037753054043,0.2212037753054043,1
28,28,6,29,8.5,7.5,7.5,7.5,7.5,-0.5907564650868105,0.7436619404120817,1.0867363563016392,0.3291589530939523,0.4557826823527424,0.2393319957219747,-0.049629748509891,1
29,29,6,30,8.0,7.5,8.0,8.5,8.5,-0.1021301533729351,0.8336464225445592,1.0626563398312172,0.4273182526289522,0.1983083353422943,-0.102130153372935,0.0037595278274423,2
30,30,7,31,9.0,7.0,8.0,8.5,8.5,0.9920337574946236,0.4708047530862581,-1.1959577394157923,-0.0341547398584928,0.8369744810397697,0.2045352416226434,0.7971928174595805,2
31,31,7,32,7.0,6.5,8.0,8.0,8.5,0.135588200992774,0.1469663385327404,-0.2190253335688736,0.717445460474489,0.5316050900386904,0.7474706774187914,0.189949566111396,1
32,32,7,33,8.0,7.5,8.0,9.0,8.0,0.6789202282943381,0.0592912763752026,-0.4053432376334213,0.3373790983511225,0.4088076697796939,0.3294038348898467,0.5915411299432154,1
33,33,7,34,8.5,7.0,7.5,7.5,7.5,-0.1660140002958882,0.0878433020214071,-0.2823236569888723,0.4222959753174011,0.9338678822692872,0.8016297338778078,0.3812721923702837,2
34,34,7,35,8.0,7.0,9.0,7.5,7.5,-1.0068513511863806,0.2720940051346509,0.8603554333408235,0.8258212369350806,0.6174359691920801,0.305448112231851,0.3042680229233082,1
35,35,7,36,7.5,7.5,9.0,7.5,7.5,-0.5922998116040569,0.3617970356730935,0.8567026021688112,0.8213801959548552,0.3617970356730935,0.1145401921753993,0.3260827499588078,1
36,36,7,37,8.0,9.0,8.5,9.5,9.0,0.785223432559314,0.6234289904211376,-1.5829737469969467,0.5246746264949066,0.5330631197115329,0.6276232370294507,0.6318174836377637,2
37,37,7,38,8.0,8.5,8.5,9.5,10.0,0.8088092643308095,0.6885082467905156,-1.7927025534390597,0.2016647246708525,0.7317412409437508,0.7524181097801372,0.7524181097801372,2
38,38,7,39,8.0,9.5,8.5,9.5,8.5,1.790659837588952,1.100090331256674,-0.7216181877401586,-0.1725882571564991,-0.1355564043336891,0.1396173445124022,0.1065381930151651,1
39,39,8,40,7.0,8.5,8.5,8.0,8.0,1.079422120784453,0.4254811617076822,-1.4741228344084207,-0.7303339232743553,0.5687131297458785,1.123971271632047,0.756869073812722,2
40,40,8,41,9.0,8.5,7.0,8.5,8.5,0.903634224933851,-0.0523406098694192,-1.0083154446726896,0.0872328280522922,0.6926322155835684,0.2186986207792899,1.1227438794788476,2
41,41,8,42,7.5,7.0,8.0,8.0,8.5,0.0990088841730677,0.0219217952847599,-0.4296363393167879,0.6456875686156529,0.8949822962333058,0.7584889432182464,0.1881182803631954,2
42,42,8,43,8.0,9.0,7.5,8.0,8.0,0.9609915760936364,0.6087259042319939,-0.4313715073950348,0.0565590442440461,0.3636030895132089,0.4635536835763618,0.2279382097357703,2
43,43,8,44,8.0,8.0,9.0,7.5,9.0,0.5606910153308963,0.5586633969801568,-0.2716584924503993,0.1037329298491137,0.1812443563299039,0.4097233990707952,0.6718891091752326,1
44,44,9,45,8.0,8.0,7.5,8.5,8.0,-0.1760085361690719,1.3831068915629825,-0.3936372707430391,-0.3210943592183833,-0.2485514476937274,0.5494205790774849,1.5281927146122938,2
45,45,9,46,8.0,7.0,8.5,8.5,7.0,-0.6921877448111207,0.7279780947915218,0.4488817902796967,0.1038718986746842,0.7592803930375006,0.0692606098274753,0.7257721010573681,1
46,46,9,47,8.0,7.5,8.0,8.5,7.5,-0.2884392630324703,1.7236985602870505,-0.2884392630324703,-0.2884392630324703,-0.1303253800240515,-0.0512684385198422,1.6089273330685552,2
47,47,9,48,8.0,8.5,8.0,9.5,7.5,0.6656637177879215,0.4674116713848531,-0.887923850649666,-0.103293966000383,0.2811848758937693,0.6022519803006728,1.0104198569971266,1
48,48,9,49,8.5,8.0,9.5,9.0,8.0,0.6675725553639736,0.7352436411246778,-1.1557892745071685,-0.1801947594787605,0.5660659267229176,0.5641871838889839,0.8029147268853819,1
49,49,10,50,8.0,7.5,8.0,8.5,7.5,-0.2957424498061131,1.2021924092949696,-0.1628133067709498,-0.0963487352533681,-0.0963487352533681,0.1695095508169585,1.5652655526861738,2
50,50,10,51,8.0,10.0,10.0,10.0,10.0,0.7380149347369379,0.5491904721701645,-1.330514452196437,0.3193538736220118,0.6460802953176769,0.6460802953176769,0.6460802953176769,1
51,51,10,52,8.0,8.0,7.5,8.5,8.0,-0.3170413624850561,0.7417632992595043,0.4368147040635672,0.167580394581916,0.0598866707892554,0.2752741183745765,0.9571507468448256,2
52,52,10,53,8.5,8.5,7.0,8.0,9.0,0.8280866024452695,-0.0120125984914084,-1.0714895035796483,0.2804910070440069,0.7549607010614158,0.4633057605036416,0.8280866024452695,2
53,53,10,54,8.0,10.0,10.0,10.0,10.0,0.7277979095697888,0.5849407667126459,-1.386308685754195,0.4888450123797377,0.6317021552368806,0.5836542780704264,0.5836542780704264,2
54,54,11,55,9.0,9.0,9.0,8.5,8.0,0.5377850985626967,-0.3665398239763991,0.1172242985191923,0.933670151676748,0.6477412455139019,0.9061811149389466,-0.5974906566636423,2
55,55,11,56,8.0,10.0,10.0,10.0,10.0,0.6601538416292664,0.5172966987721236,-1.4127167567891392,0.5896061382518354,0.7324632811089782,0.5637412556563174,0.5637412556563174,2
56,56,11,57,7.5,7.5,9.5,10.0,9.0,0.5816938410308413,0.4316595757678564,-1.0757745361103723,-0.6613860260357034,0.8698290552662286,0.9889052286996686,0.8293585756672022,1
57,57,11,58,7.5,8.0,9.5,10.0,9.0,0.7741475951528967,0.5686817378529615,-1.0853113247179098,-0.9346458142894316,0.698814839938657,0.9272709421814308,0.9796134524528316,1
58,58,11,59,9.0,8.0,9.5,9.5,9.5,0.6618209116418897,0.4747993626233966,-1.021914771258347,-1.0437261034721237,0.9753411043571936,1.0140526774651,0.8681982472143364,2
59,59,12,60,9.0,8.0,7.5,9.0,8.5,0.7569268654204634,0.0148555906705531,-1.0632682346996103,0.0534946722231752,0.8327426306065393,0.7598516612587998,0.6096825288058161,2
60,60,12,61,9.5,9.5,10.0,9.0,9.0,0.3667757277519298,0.6127772505868487,-1.2164034672775872,0.6127772505868488,0.4620047560309769,0.5135769460198651,0.7199201077297059,1
61,61,12,62,6.0,9.0,6.0,7.0,6.0,-0.1967327227013629,-0.2340980351547335,0.774765401086271,0.6203510710555342,1.1110532131666058,-0.0912408922975906,-0.162669463726162,2
62,62,12,63,9.5,8.0,9.0,9.0,9.0,0.9079348535509172,0.177629071653069,-0.9606115637956948,-0.1532230689591102,-0.154165425877471,0.947418566938646,1.0207318522039392,1
63,63,12,64,8.5,10.0,10.0,10.0,9.5,0.9016979294176845,0.5821308624448684,-1.1178440604757205,-0.4023958576281665,0.6640294447140581,0.7397622693350608,0.7754765550493465,1
64,64,13,65,9.0,9.5,9.0,9.5,9.5,0.0436860416956637,0.4371743135156499,-0.3367004664167923,0.1901341899611106,0.3329913328182535,0.6907653189239539,0.7133778409307097,1
65,65,13,66,9.0,8.5,6.5,8.5,9.0,1.0457072271646843,-0.1632187653618171,-0.8274393225826471,-0.1213183472613809,0.6686034642607579,0.3876728023300049,1.0457072271646843,2
66,66,13,67,9.0,8.5,8.5,8.0,7.0,-0.6771133658909064,-0.4211140878163272,0.0154563781878735,0.487074543453629,0.670312077194175,1.0705016710313593,1.0334542124116115,1
67,67,13,68,8.0,8.5,7.5,7.5,9.5,0.9323872895263488,0.0413307984751688,-0.3995455845039616,0.337849423939765,0.47290345636138,0.3921711598398892,0.4371891706470942,2
68,68,13,69,8.0,7.0,7.0,8.0,8.5,0.0683970809147213,0.6000530880361497,0.4223512905917618,-0.1441493711169112,0.4583554533483945,0.4580655763060476,0.3869268819198231,2
