,Unnamed: 0.1,Unnamed: 0,survey,MTURK,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,humor,engaging,Q02
0,0,0,12,1,9.0,8.0,7.5,8.5,8.5,1.1275993253433434,-0.7822220590252023,1.1216817519111333,1.0189016339651318,1.167258660012436,-0.7107934875966307,-0.8587328234018862,-0.9658756805447434,0.9303468776030028,0.9161215160191302,2
1,1,1,12,2,8.5,8.0,8.0,8.0,7.0,1.1431196279030615,-0.8176099657073274,1.1155130169343963,1.0066183306197791,1.050220219467969,-0.7442094934952798,-0.8226453816108918,-0.9297882387537488,0.9360700456380714,0.884140410432545,1
2,2,2,12,3,8.0,9.0,8.0,8.5,7.5,1.0661089684088847,-0.7164963565552454,1.1096272009501162,1.0128358023339703,1.064157981702148,-0.7463576821493216,-0.8589183861470097,-0.9303469575755812,1.0126743906063198,0.9152864669971452,1
3,3,3,13,4,8.5,8.0,9.0,9.0,8.0,1.0307462415046318,-0.751159469997336,1.0830158296379655,1.125605864413275,1.099571132057014,-0.7472876486541261,-0.8944168596961036,-0.8587025739818179,0.9958998494157424,0.9524419210150368,2
4,4,4,13,5,9.0,8.0,9.0,8.5,8.0,1.1127488972537896,-0.7508861411047266,1.1127488972537896,1.035480323420604,1.077034611539504,-0.7132251879222362,-0.8949395337518757,-0.85922524803759,0.9966231204481072,0.9193545466149216,2
5,5,5,13,6,8.5,8.0,7.5,8.0,8.0,1.1406330218528349,-0.7859665338499926,1.0502400123915188,0.9871863648037172,1.10352960216735,-0.7463466250109189,-0.8590460180385736,-0.930474589467145,0.9844080968613184,0.912979525432747,1
6,6,6,13,7,8.5,8.0,8.5,8.0,8.5,1.1569549299290398,-0.7477813338606651,1.1627872979853318,1.006537405774344,1.0940229266187245,-0.7776632515186589,-0.8935905352679665,-0.9293048209822522,0.8942822579517281,0.9980408376560876,1
7,7,7,13,8,8.5,8.0,8.0,8.0,8.5,1.1306600557445086,-0.784412370058823,1.1326318673534657,0.9862744547845296,1.156515283414009,-0.7486980843445373,-0.8588978576930667,-0.930326429121638,0.9354507064577692,0.909373802035208,2
8,8,8,3,9,7.0,7.5,8.0,8.5,9.0,1.0014055956441523,-0.8191169835177924,1.0351496188268778,1.0272685687006355,1.0728341670727235,-0.7476884120892209,-0.8577735537104159,-0.8577735537104159,1.0043740987604968,0.9984633111658152,1
9,9,9,3,10,9.0,9.0,8.5,8.5,9.5,1.1109842511428272,-0.7510566432308902,1.099485867457668,1.0503568007773634,1.1167334429854068,-0.7115095629548848,-0.8233578678668069,-0.8947864392953784,0.9710872496400584,1.010634329916064,1
10,10,10,3,11,7.5,8.0,7.0,8.0,8.0,1.0696956216663795,-0.7488739815555009,1.0480885000791995,0.9518385948272168,1.0880885310173276,-0.7429811302135427,-0.894230981323802,-0.9299452670380876,0.9721957879588172,0.9361243245819948,1
11,11,11,3,12,9.0,7.5,6.5,8.5,8.0,1.1240434446910994,-0.7535072744109206,1.0365465074314464,1.0546234189914132,1.0959238044867066,-0.7177929886966349,-0.9298197611471708,-0.9655340468614566,0.9809971605346022,0.8959483064094823,1
12,12,12,3,13,9.5,8.0,8.0,8.5,8.0,1.19343153745255,-0.8231307811679682,1.1430527012893152,0.9564662948121264,1.1604915291919735,-0.7101749813908917,-0.82172190907683,-0.9645790519339728,0.972539717352214,0.8936249434714839,2
13,13,13,3,14,7.0,7.5,7.5,7.0,7.0,1.060190878038703,-0.7855911367794614,1.1042745307292274,0.960020712441878,1.0724666619775198,-0.7816847198168831,-0.8944142786805662,-0.9658428501091376,0.9337888598059968,0.8682199138212923,2
14,14,14,2,15,7.0,8.0,7.5,7.5,7.5,1.064281265611872,-0.7436971121501937,1.110239056354798,0.9976653776647986,1.0647283165306485,-0.7813706886864521,-0.8945625054420948,-0.9659910768706662,0.9001478874849379,0.9271309080737804,1
15,15,15,2,16,9.0,8.0,7.5,7.5,8.0,1.1326707395681914,-0.7806991315460154,1.047706686482632,1.0415422611911107,1.0693765841259923,-0.7132105415071459,-0.8589898529261158,-0.9304184243546872,0.9137473192327676,0.935417216876128,2
16,16,16,2,17,6.5,6.5,6.5,7.5,7.0,1.0784648555925611,-0.8181512760566291,1.0254085199640053,1.0218218163238049,1.0332687178349025,-0.8181512760566291,-0.9298157004216652,-0.9655299861359508,0.8996453540296506,0.9016104034973748,1
17,17,17,2,18,7.0,7.0,7.5,7.0,7.0,1.0762742174737814,-0.8153790797969979,1.112500573720038,0.9447316793187496,1.0572295017933553,-0.7796647940827122,-0.8945377622038849,-0.9659663336324564,0.9144649624428556,0.8860613206815581,1
18,18,18,2,19,10.0,7.0,7.5,7.5,8.5,1.1898687030211816,-0.8182630511717716,1.1365574870112751,0.8905944019807422,1.0994084119427423,-0.6734506938373376,-0.8934755655400407,-0.964904136968612,0.9508121116686108,0.975709474750352,1
19,19,19,1,20,8.0,8.0,9.5,9.5,9.5,0.6811729982487351,-0.6414319199929727,-0.1377574042687153,0.5121546833336581,0.300955311365633,0.66823945557141,0.7624487700369423,0.5414021977092814,0.300955311365633,0.1904320252018025,2
20,20,20,1,21,9.0,9.0,9.5,10.0,9.5,-0.1873718225463993,-0.3327433636821067,0.4668001125642841,1.156686333389254,0.7205717099821312,0.3214285714285765,0.3214285714285766,0.3571428571428623,0.2844570865750085,0.2487428008607229,2
21,21,21,1,22,8.0,7.0,7.5,7.0,7.0,1.2633146839191396,0.5705029132780415,0.8708621370480698,-0.9696128021086788,-0.5711404416208827,1.093772975772801,-0.6068547273351685,0.8291280377170579,-0.5711404416208827,0.6983105220933679,1
22,22,22,1,23,9.0,8.5,8.5,8.0,8.5,-0.8190476071055103,0.2594964425295956,0.557389160090797,0.062862618644409,0.2296661202821524,0.6884783760142549,0.622933768052526,0.4561302664147823,0.1939518345678667,0.7838533062234269,1
23,23,23,1,24,8.5,8.5,8.0,7.5,7.0,1.1458212495081614,-0.0339481812961633,0.9459947700568506,-1.518621343718312,-0.0360137862725066,0.8409175178903368,-0.7385048718166091,0.5339481812961692,0.4055502732734301,1.2762847625072438,1
24,24,24,1,25,7.0,7.0,7.5,7.0,7.0,1.1758794539883817,0.3701260953726267,0.934379673458138,-0.990055395732186,-0.5182065063948506,0.9812446308955748,-0.7695317325215478,0.9504430679795164,-0.3950002547306154,0.7964352533992222,1
25,25,25,2,26,8.5,8.5,6.0,7.0,8.0,0.983746075126802,0.6037111758009626,0.4740912681926165,-0.7779836903948522,0.1117060158651729,0.8942528649823409,0.1161184276147719,0.2862800244044963,-0.4248382532841002,0.4472018059775289,1
26,26,26,2,27,9.5,9.5,8.0,7.5,8.0,0.7293474165470558,0.4955085881351864,0.0115810329342069,-0.1312761099229358,0.2714019533918396,0.6351512420325252,0.4532765977121823,0.1025627184889334,0.2876518517690803,0.1805089946262232,2
27,27,27,2,28,9.5,9.5,9.5,9.5,9.5,0.1034991390869881,0.7335664220965,-0.0285793047563953,0.469409534409733,0.0374599171652963,0.7996056440181919,-0.0285793047563953,0.5354487563314246,0.1034991390869881,0.6675272001748083,2
28,28,28,2,29,9.0,8.0,8.0,8.0,7.0,0.4804988432828331,0.1451160074630928,0.5162131289971188,-0.3942873827267253,0.0609628731351967,0.6717948347535864,0.0966771588494823,0.4148177025580019,0.3663788539443915,0.498970836885898,1
29,29,29,2,30,10.0,8.5,7.0,9.0,7.5,1.1949408208159582,0.2326297089194447,-0.0733419844313239,0.1168051056466662,-0.1090562701456097,0.6544260055429918,0.196915423205159,-0.1061623547689693,0.2326297089194447,0.6602138362962727,1
30,30,30,3,31,8.5,8.0,9.0,9.0,8.5,0.8669254352659274,0.6296963946326039,-0.1253527884308556,-1.1138071244030374,0.3095671193969042,0.7444870272246641,0.6296963946326039,0.6654106803468897,-0.4021200025030665,0.8669254352659274,1
31,31,31,3,32,8.0,9.0,9.0,8.0,9.0,1.1564731815123783,0.3957616478991395,-0.7192344991593943,-0.2770932932771655,1.0329023033611595,0.3600473621848538,-0.188283952941045,0.2364764840336346,0.5193325260503586,0.5550468117646444,2
32,32,32,3,33,10.0,9.0,9.5,10.0,9.5,0.3089887265183882,1.107946038294873,0.2126804652694531,-2.066615050955343,0.3053771945537475,0.7584272790134184,0.4979937170516177,0.7548157470487779,0.7263245252637734,0.8226327865127087,2
33,33,33,3,34,9.5,9.5,9.5,9.5,9.5,1.0150989968387738,0.1414217030211975,1.0150989968387738,-2.2793603203883115,0.7047423271708887,0.451778372689083,0.7047423271708887,0.451778372689083,0.7047423271708887,0.4828140396558716,2
34,34,34,3,35,8.0,7.0,8.0,8.0,8.5,1.063270869949528,0.8349043196209759,0.7905175602817145,-1.2616127502501224,0.6584771422602955,0.7385781873138425,-1.074368848053718,0.6476604174245716,-0.4823312181680818,0.9063328910495472,2
35,35,35,4,36,8.0,8.0,8.0,8.0,9.0,1.184099547129666,-0.0584601450058374,0.3795359428488541,-1.1669259030945387,0.9159116790360622,0.79978512959189,-0.9077217273022496,0.2187114153890813,0.6924217889580587,0.8712137010204615,2
36,36,36,4,37,9.5,9.5,9.5,9.5,9.5,-0.5858138513887304,1.2358107154619806,-0.5143774401432735,1.0929378929710665,-0.3715046176523594,0.9500650704801524,-0.1571953839159884,0.9500650704801524,-0.1571953839159884,0.9500650704801524,2
37,37,37,4,38,8.0,8.5,9.0,7.5,9.0,1.3919808632103217,0.041553236711429,0.4059458576218664,-1.07410415036164,0.3589918097367018,0.5223334777339529,-0.7209512916220817,0.1242215703108793,0.651955859218568,1.2980727674399926,2
38,38,38,4,39,9.0,10.0,9.5,10.0,10.0,0.4813261892463863,0.8111101049626368,0.1467677910800335,-1.2188247430119847,0.0360440720995996,0.5527547606749578,0.5158468543481465,0.7753958192483513,0.5527547606749578,0.811110104962637,2
39,39,39,4,40,8.0,8.0,7.5,8.0,9.5,0.9139784279964228,0.8102317986219819,0.8557237127069433,-0.9113652144269664,-0.7166347568826031,1.063216971455825,-0.2336158957246852,0.6967075408768657,-0.4832048407901115,0.933533684737774,1
40,40,40,4,41,8.0,7.5,9.0,7.5,8.5,1.0177569509266242,-0.0916766582630254,0.9312565311132012,-0.8701804365838336,0.1602886769848182,0.7733275398712064,-0.7912159409628364,0.4555042221393734,0.3765397265183761,0.931256531113201,1
41,41,41,4,42,8.5,8.0,8.0,8.5,7.5,-0.2764731802419978,-0.2080786759643784,0.5043427446972901,0.0521932990153842,0.0001389040194317,0.0195130804520506,0.2277306604358607,0.400233954705385,0.6278257111218138,1.5454306446163406,1
42,42,42,4,43,8.0,8.0,8.5,8.5,8.5,0.9909249107981338,0.3405775114786593,0.7354971953310143,-0.3711029358536645,0.0885149704834471,0.4086409084353234,-0.2996743644250928,0.4409900196777017,-0.0051671887717805,0.6350846871319717,1
43,43,43,5,44,9.5,8.5,9.0,8.0,8.0,0.8312236361630992,0.7428198677120251,0.4418942766445167,0.300801025456654,0.1239934885545056,0.2186436199028407,-0.0001245656108542,0.3365153111709397,0.0230969943089094,0.0525649171259342,2
44,44,44,5,45,8.0,8.5,9.5,7.5,8.5,0.9920965199817368,0.3820911809666177,0.3894593210184536,-0.2772383093215648,-0.3832547519195283,0.2823164638755965,0.2477285927062043,0.4251736067327393,0.4104373266290677,0.5311900493307029,2
45,45,45,5,46,9.5,9.5,9.0,10.0,9.0,0.9152366790080247,0.6749853905159284,0.382789672261913,-1.9190617880559253,0.1490330976587007,1.1132789678969512,0.0678690960713802,1.0548398242461483,-0.1658874785318318,1.0840593960715497,2
46,46,46,5,47,9.0,7.5,7.0,8.0,8.0,0.8518394424176863,0.2142404804036971,0.0280550256144857,0.9308820400640406,0.3628081429241771,0.4004259351929086,-0.4609762738790235,0.1409084024206799,0.0242480125055942,0.3289973637643372,2
47,47,47,5,48,10.0,8.5,7.5,8.0,9.0,0.7808334269393367,0.4862168663467099,0.6326349191551891,-0.8635937984916315,-0.2297441167137512,0.6683492048694749,-0.6064719785889586,0.5629868027022858,0.7451191412250509,0.8950981039848663,1
48,48,48,6,49,9.5,8.5,9.0,8.0,8.0,0.8312236361630992,0.7428198677120251,0.4418942766445167,0.300801025456654,0.1239934885545056,0.2186436199028407,-0.0001245656108542,0.3365153111709397,0.0230969943089094,0.0525649171259342,2
49,49,49,6,50,8.0,8.5,9.5,7.5,8.5,0.9920965199817368,0.3820911809666177,0.3894593210184536,-0.2772383093215648,-0.3832547519195283,0.2823164638755965,0.2477285927062043,0.4251736067327393,0.4104373266290677,0.5311900493307029,2
50,50,50,6,51,9.5,9.5,9.0,10.0,9.0,0.9152366790080247,0.6749853905159284,0.382789672261913,-1.9190617880559253,0.1490330976587007,1.1132789678969512,0.0678690960713802,1.0548398242461483,-0.1658874785318318,1.0840593960715497,2
51,51,51,6,52,9.0,7.5,7.0,8.0,8.0,0.8518394424176863,0.2142404804036971,0.0280550256144857,0.9308820400640406,0.3628081429241771,0.4004259351929086,-0.4609762738790235,0.1409084024206799,0.0242480125055942,0.3289973637643372,2
52,52,52,6,53,10.0,8.5,7.5,8.0,9.0,0.7808334269393367,0.4862168663467099,0.6326349191551891,-0.8635937984916315,-0.2297441167137512,0.6683492048694749,-0.6064719785889586,0.5629868027022858,0.7451191412250509,0.8950981039848663,1
53,53,53,7,54,9.0,10.0,9.0,10.0,9.5,0.2179868249109419,1.1846768292839154,-0.1440592879007696,-0.056624128927668,0.2019802373664116,0.11454507839331,0.3571428571428596,0.3214285714285739,0.6674680966957556,0.5283120644638378,2
54,54,54,7,55,9.5,9.0,7.5,9.5,7.5,-1.4790833716557377,0.5129723951609456,0.0532672182032495,0.6253042103681808,0.3980461009215216,0.7402305046076049,0.5512811599074203,0.4441383027645632,0.6278986894003697,0.597373361750462,2
55,55,55,7,56,8.5,8.0,8.5,8.5,8.5,0.8468644098536934,-0.3097796645008654,0.3207433416092883,0.7768062980636763,0.5666319626936253,-0.1696634409208315,0.1105690062392371,0.4965738509036081,0.2506852298192711,0.1105690062392371,1
56,56,56,7,57,8.0,7.5,7.5,9.0,8.0,0.7128243362212078,0.0577354137860725,0.3681133940916823,0.1992112327528452,0.3694947179820526,0.092068375609988,0.1277826613242738,0.4697309556730587,0.1964485849721047,0.2637331847295657,1
57,57,57,7,58,9.0,10.0,8.5,8.5,8.5,0.509859781406072,-0.1273945399421329,0.3395517742792882,0.2855369123852418,0.115228905258458,0.375266059993574,0.4109803457078597,0.2406723385810758,0.5190100694959525,0.5098597814060721,2
58,58,58,8,59,8.5,9.0,8.5,9.0,8.5,1.223021063858175,0.2500076523507335,0.5981549799960716,-0.9550912236690392,0.3303552297694552,0.3392742357596056,0.142903056961561,0.1161077772374255,0.499969390597049,0.5624406942817858,1
59,59,59,8,60,8.5,8.5,8.5,8.5,9.5,0.3932677026002,0.1580002747424988,-0.0457492101153143,-1.0036042924037092,-0.0100349244010287,0.3575534168859144,0.7524633584583481,0.6768384443153792,0.7965703296014287,1.03183775745913,2
60,60,60,8,61,9.0,8.0,9.0,10.0,8.5,0.5390538849067134,-0.0643786098809851,-0.2179037271911702,-0.939147053574768,0.1605750788577714,0.444434183394478,0.7871987037291339,0.6336735864189489,0.8586272751577055,0.9764381067536048,2
61,61,61,8,62,9.5,8.5,8.5,9.5,9.5,-0.3089596394933367,0.517007801951819,0.4620187479651106,0.2256230145764149,0.3259637384136199,0.0895680050249241,0.4166670781146138,0.3809527924003281,0.4166670781146138,0.724491382931881,2
62,62,62,8,63,9.0,7.0,7.5,7.5,7.5,1.0016524862797902,0.7010810277574392,0.9049381855900432,-1.1364906853477514,0.385652396427023,0.647033383750718,-0.4847763097806989,0.4754143261480297,-0.3845858236065821,0.6400810127819779,1
63,63,63,8,64,7.5,8.0,7.0,8.0,8.0,-0.1698882054103528,0.6068052663221998,0.0277062441945184,0.1265034689969541,0.3104135919148932,0.3104135919148932,0.359812204316111,0.3734965310030431,0.4943237148328323,0.3104135919148932,2
64,64,64,8,65,8.0,7.5,9.0,8.0,8.5,0.8388136883205257,0.2387122570896664,0.8745279740348114,-0.5533412706203553,0.1615491137006376,0.6130588301138964,-0.2899606027126209,0.7240247352303919,-0.5909670803214604,0.9121537837359162,2
65,65,65,8,66,8.5,8.0,7.0,8.0,8.0,0.881760347075731,0.8068620211063994,0.8103317756471594,-1.697446800675775,-0.8031533838912408,0.4150216185559405,0.0623652562605277,0.6144115743719301,0.8033922665656392,0.9278838964122972,1
66,66,66,8,67,7.5,7.5,8.0,7.5,7.5,0.7718544829367359,0.3585555780205444,0.5715783816498304,-1.4349713631885077,-0.3137012972687429,0.8305363520229265,-0.2665032198685049,0.73614019722245,0.7718544829367359,0.6889421198222119,1
67,67,67,9,68,8.0,7.5,8.5,8.0,8.5,0.8632944797907243,-0.1786401961670713,-0.2642391735189388,0.2257373473867719,0.5040781592333639,0.0639863299652346,-0.1429259104527856,0.378041427526112,0.6206679536584182,0.8228567254353399,2
68,68,68,9,69,8.0,9.0,8.0,8.0,8.0,0.5632154171979099,0.4288126230063437,0.5002411944349151,0.0093864619779015,0.3522084317189944,0.3190819559340976,0.1795035418837535,0.0859906532652509,0.3054519874097431,0.1846791617425315,1
69,69,69,9,70,8.0,8.0,8.5,8.5,8.0,0.3257006369080141,0.4181483155769446,0.5820245656744467,0.0336624224272958,-0.0090582323671096,0.2542720654794427,0.0336624224272958,0.3327070059881338,0.4111419464968249,0.5463102799601609,1
70,70,70,9,71,9.0,8.5,8.0,9.5,8.0,0.5443543061743414,0.3735335145535274,0.1728114149313885,-0.1630171905972781,0.1390347884547564,0.3416945473145488,0.4768010532210772,0.2364893494093454,0.5105776796977094,0.439149108269138,1
71,71,71,9,72,9.5,9.5,8.5,8.5,9.5,0.3214285714285728,0.7129894093677704,0.4005055830341088,0.1275602625032151,0.0446590308091967,0.5152968803539306,0.558659606245181,0.2461757799115191,0.3609670772313408,-0.0382422008848216,1
72,72,72,9,73,8.5,8.5,8.0,8.0,8.0,0.7635689347423547,0.0060604892061845,0.1156046091962892,0.4253315233830502,0.4967600948116215,0.2323525177281364,0.0369722492259752,0.0060604892061845,0.1156046091962892,0.7302559118753162,2
73,73,73,10,74,10.0,8.0,8.0,7.5,8.5,0.709804228107363,0.6645317869231915,0.8954154759834202,-1.0416837296756092,0.1481914067442485,0.709804228107363,-0.1302254650698371,0.4432062533328486,-0.2539662969872087,0.8549221125341916,2
74,74,74,10,75,10.0,7.5,7.5,7.5,8.5,0.7447543835353724,0.1771174857275252,0.2311628735015444,-1.7874888809194818,0.1249679347638682,0.6385594447976963,0.5497476897145724,0.3364098938340394,0.8152350365587626,1.0981055670575055,2
75,75,75,10,76,10.0,7.5,7.5,7.5,8.5,0.7046593818079259,0.7115938444098635,0.8486950226445368,-1.4753635952927122,-0.1698878944772112,0.2852428865225002,0.3094452429918467,0.3520939913080702,0.4592368484509273,0.9028557002056994,1
76,76,76,10,77,9.0,7.5,9.5,8.5,9.0,0.6076121300347175,-0.3470990296844233,-0.0283513335344923,-0.0993969227804008,0.5373325051541349,0.4662869159082263,0.5718978443204318,0.3253446839643982,0.360293005313358,0.7132230584469229,2
77,77,77,10,78,8.0,9.0,8.0,7.5,8.0,0.7827663763789113,0.0954958029446534,0.9183260374692632,-1.593176433585642,0.9088537694867652,0.1953411783207197,0.5473613399124932,0.0597815172303676,0.9088537694867652,0.069253785212866,2
78,78,78,10,79,8.5,8.5,8.0,8.5,8.5,1.1616804293566598,-0.3496757470813353,-0.9332588813410656,-0.1298992952714213,0.475272087695513,0.7892384474239618,-0.2111362539656332,0.4937157744440353,0.950539277029627,0.7535241617096761,2
79,79,79,10,80,9.0,8.0,9.0,9.0,7.5,0.929177031575569,0.8220341744327117,0.0586902443953544,-1.0490321212953764,0.5675861977535928,0.9406519636879704,-0.059927544859904,1.0650072189994295,-0.0242132591456184,-0.2142596198294483,2
80,80,80,10,81,8.5,9.5,8.0,8.5,10.0,-0.1727064372746158,0.37236420731623,-0.0860565156726742,0.0819717421636641,0.1534003135922354,0.2704929355409179,0.3062072212552036,0.3518712717753147,0.5761067508668541,1.3249199390083244,2
81,81,81,11,82,9.0,8.0,8.5,8.5,9.0,0.8407319623933246,0.6511591441282288,0.4011055030747182,-1.492019845049978,0.2362455808302408,0.6319201224276887,0.6401577544345616,0.4588225681763385,-0.0934742636587141,0.7967800446721659,2
82,82,82,11,83,9.0,8.0,8.0,8.0,8.5,0.9603478401962,0.8233433502289201,0.3871241636423032,-1.8940652367935569,0.0287845697492292,0.7993343702943599,0.6558788590621086,0.3754188578625774,-0.0608003287240393,0.8889192687676287,2
83,83,83,11,84,8.5,8.0,7.5,7.5,8.5,0.6982412211055588,0.9356421659452264,0.4213462740035057,-1.6152418742414896,-0.0942095234542481,0.6255527441609541,0.6625269353912727,0.2797490366623961,0.2490743730122434,0.694461504557459,2
84,84,84,11,85,9.5,9.5,9.0,9.0,9.5,-0.2726790498776139,1.213763148328516,-0.3417613314248446,-0.1345144867831524,-0.2035967683303832,0.5229403328562092,0.9017197364253076,0.5563083286891541,0.5563083286891543,0.5229403328562091,2
85,85,85,11,86,9.5,7.5,7.5,8.0,8.0,1.078815949343215,0.7599409791201313,0.720402313458038,-1.2055914264662078,-0.828043847121144,0.6323933997750676,-0.5410587826645381,0.7012683699981511,0.7854529037333139,0.7892772836811215,1
86,86,86,11,87,8.0,7.5,7.5,8.5,8.5,0.8362405655027978,0.2306616577354327,-1.071263071492435,0.1756090297565815,0.927007479195935,0.0655037737988786,-0.1904210238308124,0.4508721696508381,0.7067969672805293,0.7261353095450952,2
87,87,87,11,88,8.0,7.0,7.0,8.0,8.5,0.7850640259691907,0.0558084343453146,-0.694490759971269,-0.1291359138972428,0.9132504858047552,0.970008374211748,0.0095723472846751,-0.3035584607934468,0.7283061375621978,0.4151753294840758,2
88,88,88,11,89,9.0,8.5,8.0,7.5,7.0,1.141252690718869,0.5108531288650947,0.1723696406485173,-0.1971767923401622,-0.0124035758458224,-0.0139540228265502,0.28261339175283,0.2127352673049865,0.099390622239218,0.6614625066258765,1
89,89,89,12,90,8.0,7.5,8.0,7.5,8.0,0.819247564505491,0.5775590335580618,0.6307190605454898,-1.933960210793952,0.5053076589614893,0.792667551011777,0.5501562168963466,0.5327104756232043,-0.3916634997356584,0.7029704351420621,2
90,90,90,12,91,8.0,9.0,8.5,8.0,9.0,0.2275944250681719,0.8445073172435558,0.6656769767939869,-1.0689255431912006,0.5672685071710962,0.7193778613044856,-0.0496443850042871,1.032330957091231,-0.0853586707185729,0.1828868399557797,2
91,91,91,12,92,8.5,8.5,8.0,7.0,8.0,0.4726982934943884,0.1784408007731896,-0.9021841166534628,-0.2229595490908662,0.6926794791180448,0.6184031720205024,0.0877312186529898,0.2527171078707321,0.5469746005919309,1.1326418503653577,1
92,92,92,12,93,9.0,8.5,8.5,9.5,9.5,0.3398789435763304,0.8933901080091126,0.4425424489702403,-0.1675062904870533,0.1449635774436235,0.3860048739457289,0.7192980311866313,0.3860048739457289,-0.0856660744033691,0.1553752220987363,1
93,93,93,12,94,10.0,7.5,8.0,8.5,7.0,1.1573658569182008,0.0219840631769139,0.6300871361359993,-0.9968590926732036,0.0313798439252262,0.6300871361359993,-0.3671354051223008,0.332148016578209,-0.1143063520271086,1.6038202255235192,1
